AMRate,TrialType,Score,Latency,TrialStart,TrialEnd,FrameStart,FrameStop,Direction
5.26000022888184,Av,Correct,524.418560000004,285.45531904,286.57672192,17011,17078,Left
9.11999988555908,Vis,Correct,536.460799999975,288.8718336,290.01179136,17216,17284,Right
9.11999988555908,Aud,Correct,426.728960000037,292.05942272,293.11926272,17408,17470,Right
4,Vis,Correct,549.568000000011,295.14084352,296.29997056,17592,17661,Left
12,Vis,Correct,543.301120000012,298.35071488,299.58336512,17785,17858,Right
4,Av,Correct,413.376000000017,302.06267392,303.16695552,18008,18073,Left
9.11999988555908,Vis,Correct,613.015040000039,306.2921216,307.59149568,18262,18338,Right
6.92000007629395,Vis,Catch,714.350079999963,311.18127104,312.5460992,18555,18636,Right
12,Vis,Incorrect,2151.80032,315.5982336,318.48493056,18820,18992,Left
9.11999988555908,Aud,Correct,490.831360000004,320.23883776,321.3365248,19098,19163,Right
5.26000022888184,Vis,Correct,661.265920000051,323.25013504,324.48434176,19279,19352,Left
4,Aud,Correct,514.792960000011,326.54946304,327.80152832,19477,19551,Left
6.92000007629395,Vis,Catch,709.475840000027,330.6364928,332.10195968,19722,19809,Right
4,Aud,Correct,364.34687999996,336.35418112,337.48529152,20065,20132,Left
5.26000022888184,Av,Correct,571.399680000002,339.64580864,341.0016256,20263,20343,Left
12,Aud,Correct,365.53471999996,343.261184,344.421376,20480,20548,Right
4,Aud,Correct,704.478720000043,347.20681984,348.71197696,20716,20806,Left
6.92000007629395,Aud,Catch,604.57727999999,351.03125504,352.42115072,20946,21028,Right
4,Av,Correct,522.370560000002,354.93720064,356.13097984,21180,21251,Left
4,Av,Incorrect,260.14464000001,358.89102848,359.8370816,21417,21473,Right
6.92000007629395,Av,Catch,772.267519999946,362.11253248,363.51184896,21611,21694,Right
6.92000007629395,Av,Catch,731.184639999969,365.88060672,367.22184192,21837,21916,Right
9.11999988555908,Aud,Correct,487.800320000008,370.07736832,371.26221824,22089,22159,Right
9.11999988555908,Aud,Correct,549.281279999991,376.59906048,377.70113024,22480,22545,Right
5.26000022888184,Av,Correct,508.689919999983,379.89920768,380.99951616,22678,22743,Left
4,Vis,Correct,686.497280000015,383.02203904,384.34492416,22865,22944,Left
4,Aud,Correct,610.352640000019,386.72429056,388.24239104,23087,23177,Left
5.26000022888184,Av,Correct,573.570559999996,391.5984896,393.02045696,23380,23464,Left
9.11999988555908,Vis,Correct,476.331520000019,397.442048,398.6745344,23730,23803,Right
4,Vis,Correct,774.274560000026,401.3531136,402.86875648,23965,24055,Left
9.11999988555908,Vis,Correct,763.54303999999,405.21252864,406.651904,24197,24282,Right
6.92000007629395,Vis,Catch,821.665279999979,409.0830848,410.70845952,24429,24525,Right
12,Aud,Correct,1019.70687999999,413.11014912,414.98124288,24670,24782,Right
9.11999988555908,Aud,Correct,498.695680000014,418.83414528,420.14019584,25014,25091,Right
4,Aud,Incorrect,383.229439999968,422.63977984,423.84969728,25242,25314,Right
5.26000022888184,Av,Correct,443.481599999973,425.64222976,426.64095744,25422,25481,Left
4,Av,Correct,211.238400000002,430.08147456,431.075328,25689,25747,Left
4,Av,Correct,430.251520000002,433.95584,435.03689728,25921,25985,Left
4,Vis,Incorrect,609.246720000033,437.41540352,439.0139904,26129,26224,Right
4,Vis,Correct,785.702400000037,440.93116416,442.3391232,26340,26423,Left
4,Av,Correct,489.479679999977,446.04850176,447.14713088,26647,26712,Left
4,Vis,Incorrect,733.519359999991,449.48504576,450.87494144,26853,26935,Right
12,Av,Correct,468.385279999995,452.86846464,453.92171008,27056,27118,Right
6.92000007629395,Vis,Catch,627.310080000018,456.08480768,457.35104512,27249,27324,Right
12,Aud,Correct,504.675839999993,461.0824192,462.267392,27549,27619,Right
9.11999988555908,Aud,Correct,423.16543999998,464.76816384,466.00794112,27770,27843,Right
12,Vis,Correct,854.146560000049,468.30804992,469.88075008,27982,28076,Right
12,Vis,Correct,1296.96511999997,472.88487936,474.88139264,28257,28376,Right
5.26000022888184,Aud,Correct,518.438399999968,477.29405952,478.53056,28521,28595,Left
4,Av,Correct,475.799040000015,480.93679616,482.49520128,28740,28832,Left
9.11999988555908,Vis,Correct,637.140480000016,486.35469824,487.70494464,29065,29145,Right
12,Av,Correct,412.188160000017,490.15181312,491.57890048,29293,29377,Right
